ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-10-01,112.32985684972893,31.4610462315096,183.63408131671875,112.32985684972893,112.32985684972893,-9.197037051749039,-9.197037051749039,-9.197037051749039,-9.197037051749039,-9.197037051749039,-9.197037051749039,0.0,0.0,0.0,103.13281979797989
2017-11-01,111.95554208786974,38.697607043092844,194.4885904313369,111.95554208786974,111.95554208786974,0.08094571257803163,0.08094571257803163,0.08094571257803163,0.08094571257803163,0.08094571257803163,0.08094571257803163,0.0,0.0,0.0,112.03648780044777
2017-12-01,111.5933019987462,-48.94922916269991,113.78743860965479,111.5933019987462,111.5933019987462,-77.12138004492083,-77.12138004492083,-77.12138004492083,-77.12138004492083,-77.12138004492083,-77.12138004492083,0.0,0.0,0.0,34.47192195382537
2018-01-01,111.2189872399852,70.36311002633357,231.02573089204049,111.2189872399852,111.2189872399852,41.46402816000047,41.46402816000047,41.46402816000047,41.46402816000047,41.46402816000047,41.46402816000047,0.0,0.0,0.0,152.68301539998566
2018-02-01,110.8446724812242,57.59463846794554,212.7507876133839,110.8446724812242,110.8446724812242,25.00948069583439,25.00948069583439,25.00948069583439,25.00948069583439,25.00948069583439,25.00948069583439,0.0,0.0,0.0,135.85415317705858
2018-03-01,110.50658173137558,49.47199745515632,204.68944629391004,110.50658173137558,110.50658173137558,16.968863236224784,16.968863236224784,16.968863236224784,16.968863236224784,16.968863236224784,16.968863236224784,0.0,0.0,0.0,127.47544496760037
2018-04-01,110.13226697504601,27.758747127357704,179.462541326367,110.13226697504601,110.13226697504601,-3.186132395097846,-3.186132395097846,-3.186132395097846,-3.186132395097846,-3.186132395097846,-3.186132395097846,0.0,0.0,0.0,106.94613457994816
2018-05-01,109.77002688827548,17.33969551277713,181.70303745765372,109.77002688827548,109.77002688827548,-7.397383817428727,-7.397383817428727,-7.397383817428727,-7.397383817428727,-7.397383817428727,-7.397383817428727,0.0,0.0,0.0,102.37264307084675
2018-06-01,109.39571213194591,28.95747048305019,191.07698106657486,109.39571213194591,109.39571213194591,2.3137329456011684,2.3137329456011684,2.3137329456011684,2.3137329456011684,2.3137329456011684,2.3137329456011684,0.0,0.0,0.0,111.70944507754709
2018-07-01,109.03347204452753,28.903371563238178,182.6958375435687,109.03347204452753,109.03347204452753,-4.34805739607203,-4.34805739607203,-4.34805739607203,-4.34805739607203,-4.34805739607203,-4.34805739607203,0.0,0.0,0.0,104.68541464845549
